               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.034663,            0.017267,                   0,              6.0802,           0.0074046,                 0.2,           0.0021735,          0.00030062,            0.037906,            0.016357,                   0,               6.397,           0.0035529,           0.0035529,            0.054453
                  41,              0.0301,            0.017269,                   0,              5.6117,           0.0074046,                 0.2,           0.0021735,          0.00030062,            0.037906,            0.016357,                   0,               6.397,           0.0035793,           0.0035793,            0.053279
                  42,            0.032495,            0.018795,                   0,              6.5941,           0.0056902,                 0.4,           0.0033084,          0.00053728,            0.037413,            0.016872,                   0,              6.3652,           0.0036023,           0.0036023,            0.052102
                  43,            0.041689,            0.018686,                   0,              7.6406,           0.0056902,                 0.4,           0.0033084,          0.00053728,            0.037413,            0.016872,                   0,              6.3652,           0.0036218,           0.0036218,            0.050922
                  44,            0.035904,             0.01733,                   0,              6.6222,           0.0056902,                 0.4,           0.0033084,          0.00053728,            0.037413,            0.016872,                   0,              6.3652,            0.003638,            0.003638,            0.049738
                  45,            0.040055,            0.018427,                   0,              7.0287,           0.0026675,                 0.2,           0.0011379,          0.00026695,            0.032516,            0.016141,                   0,              6.3617,           0.0036508,           0.0036508,            0.048551
                  46,            0.035724,            0.018054,                   0,              6.5884,           0.0026675,                 0.2,           0.0011379,          0.00026695,            0.032516,            0.016141,                   0,              6.3617,           0.0036603,           0.0036603,             0.04736
                  47,            0.036924,            0.016891,                   0,              6.3983,           0.0026675,                 0.2,           0.0011379,          0.00026695,            0.032516,            0.016141,                   0,              6.3617,           0.0036664,           0.0036664,            0.046166
                  48,            0.027196,            0.016015,                   0,              5.0077,            0.003015,                 0.6,           0.0022034,          0.00030455,            0.032728,            0.015905,                   0,              6.3417,           0.0036694,           0.0036694,            0.044969
                  49,            0.039977,            0.017841,                   0,              7.0528,            0.003015,                 0.6,           0.0022034,          0.00030455,            0.032728,            0.015905,                   0,              6.3417,           0.0036693,           0.0036693,            0.043769
                  50,            0.031624,            0.017076,                   0,              5.3931,            0.003015,                 0.6,           0.0022034,          0.00030455,            0.032728,            0.015905,                   0,              6.3417,            0.003666,            0.003666,            0.042566
                  51,            0.043794,            0.018904,                   0,              7.4997,            0.013669,                 0.4,           0.0091487,           0.0016022,            0.031577,            0.015256,                   0,              6.3989,           0.0036597,           0.0036597,             0.04136
                  52,            0.027833,            0.015398,                   0,              4.8017,            0.013669,                 0.4,           0.0091487,           0.0016022,            0.031577,            0.015256,                   0,              6.3989,           0.0036505,           0.0036505,            0.040151
